"lon","lat","chlorophyll_mg_m3","euph_depth_m","mld_depth_m"
-179.5,89.5,NA,NA,NA
-178.5,89.5,NA,NA,NA
-177.5,89.5,NA,NA,NA
-176.5,89.5,NA,NA,NA
-175.5,89.5,NA,NA,NA
-174.5,89.5,NA,NA,NA
-173.5,89.5,NA,NA,NA
-172.5,89.5,NA,NA,NA
-171.5,89.5,NA,NA,NA
-170.5,89.5,NA,NA,51.375892832281
-169.5,89.5,NA,NA,NA
-168.5,89.5,NA,NA,NA
-167.5,89.5,NA,NA,27.8953189473609
-166.5,89.5,NA,NA,NA
-165.5,89.5,NA,NA,NA
-164.5,89.5,NA,NA,NA
-163.5,89.5,NA,NA,29.3987721719221
-162.5,89.5,NA,NA,NA
-161.5,89.5,NA,NA,NA
-160.5,89.5,NA,NA,NA
-159.5,89.5,NA,NA,NA
-158.5,89.5,NA,NA,NA
-157.5,89.5,NA,NA,NA
-156.5,89.5,NA,NA,NA
-155.5,89.5,NA,NA,NA
-154.5,89.5,NA,NA,NA
-153.5,89.5,NA,NA,NA
-152.5,89.5,NA,NA,NA
-151.5,89.5,NA,NA,NA
-150.5,89.5,NA,NA,NA
-149.5,89.5,NA,NA,NA
-148.5,89.5,NA,NA,NA
-147.5,89.5,NA,NA,NA
-146.5,89.5,NA,NA,NA
-145.5,89.5,NA,NA,NA
-144.5,89.5,NA,NA,NA
-143.5,89.5,NA,NA,NA
-142.5,89.5,NA,NA,NA
-141.5,89.5,NA,NA,NA
-140.5,89.5,NA,NA,NA
-139.5,89.5,NA,NA,NA
-138.5,89.5,NA,NA,NA
-137.5,89.5,NA,NA,NA
-136.5,89.5,NA,NA,NA
-135.5,89.5,NA,NA,NA
-134.5,89.5,NA,NA,NA
-133.5,89.5,NA,NA,NA
-132.5,89.5,NA,NA,18.9929603762085
-131.5,89.5,NA,NA,NA
-130.5,89.5,NA,NA,NA
-129.5,89.5,NA,NA,NA
-128.5,89.5,NA,NA,NA
-127.5,89.5,NA,NA,NA
-126.5,89.5,NA,NA,NA
-125.5,89.5,NA,NA,NA
-124.5,89.5,NA,NA,NA
-123.5,89.5,NA,NA,NA
-122.5,89.5,NA,NA,NA
-121.5,89.5,NA,NA,NA
-120.5,89.5,NA,NA,NA
-119.5,89.5,NA,NA,NA
-118.5,89.5,NA,NA,NA
-117.5,89.5,NA,NA,NA
-116.5,89.5,NA,NA,NA
-115.5,89.5,NA,NA,NA
-114.5,89.5,NA,NA,NA
-113.5,89.5,NA,NA,NA
-112.5,89.5,NA,NA,NA
-111.5,89.5,NA,NA,11.8312382699062
-110.5,89.5,NA,NA,NA
-109.5,89.5,NA,NA,NA
-108.5,89.5,NA,NA,NA
-107.5,89.5,NA,NA,NA
-106.5,89.5,NA,NA,NA
-105.5,89.5,NA,NA,NA
-104.5,89.5,NA,NA,NA
-103.5,89.5,NA,NA,NA
-102.5,89.5,NA,NA,NA
-101.5,89.5,NA,NA,NA
-100.5,89.5,NA,NA,NA
-99.5,89.5,NA,NA,9.51648411077749
-98.5,89.5,NA,NA,NA
-97.5,89.5,NA,NA,NA
-96.5,89.5,NA,NA,NA
-95.5,89.5,NA,NA,NA
-94.5,89.5,NA,NA,NA
-93.5,89.5,NA,NA,NA
-92.5,89.5,NA,NA,NA
-91.5,89.5,NA,NA,NA
-90.5,89.5,NA,NA,NA
-89.5,89.5,NA,NA,NA
-88.5,89.5,NA,NA,NA
-87.5,89.5,NA,NA,NA
-86.5,89.5,NA,NA,NA
-85.5,89.5,NA,NA,NA
-84.5,89.5,NA,NA,NA
-83.5,89.5,NA,NA,NA
-82.5,89.5,NA,NA,NA
-81.5,89.5,NA,NA,NA
-80.5,89.5,NA,NA,NA
-79.5,89.5,NA,NA,NA
-78.5,89.5,NA,NA,NA
-77.5,89.5,NA,NA,NA
-76.5,89.5,NA,NA,NA
-75.5,89.5,NA,NA,NA
-74.5,89.5,NA,NA,NA
-73.5,89.5,NA,NA,NA
-72.5,89.5,NA,NA,NA
-71.5,89.5,NA,NA,NA
-70.5,89.5,NA,NA,NA
-69.5,89.5,NA,NA,NA
-68.5,89.5,NA,NA,NA
-67.5,89.5,NA,NA,NA
-66.5,89.5,NA,NA,NA
-65.5,89.5,NA,NA,NA
-64.5,89.5,NA,NA,NA
-63.5,89.5,NA,NA,NA
-62.5,89.5,NA,NA,NA
-61.5,89.5,NA,NA,NA
-60.5,89.5,NA,NA,NA
-59.5,89.5,NA,NA,NA
-58.5,89.5,NA,NA,NA
-57.5,89.5,NA,NA,NA
-56.5,89.5,NA,NA,NA
-55.5,89.5,NA,NA,NA
-54.5,89.5,NA,NA,NA
-53.5,89.5,NA,NA,NA
-52.5,89.5,NA,NA,NA
-51.5,89.5,NA,NA,NA
-50.5,89.5,NA,NA,NA
-49.5,89.5,NA,NA,NA
-48.5,89.5,NA,NA,NA
-47.5,89.5,NA,NA,NA
-46.5,89.5,NA,NA,NA
-45.5,89.5,NA,NA,NA
-44.5,89.5,NA,NA,NA
-43.5,89.5,NA,NA,NA
-42.5,89.5,NA,NA,NA
-41.5,89.5,NA,NA,NA
-40.5,89.5,NA,NA,NA
-39.5,89.5,NA,NA,12.9589293135745
-38.5,89.5,NA,NA,NA
-37.5,89.5,NA,NA,NA
-36.5,89.5,NA,NA,NA
-35.5,89.5,NA,NA,NA
-34.5,89.5,NA,NA,26.873172924681
-33.5,89.5,NA,NA,13.9877080724292
-32.5,89.5,NA,NA,NA
-31.5,89.5,NA,NA,NA
-30.5,89.5,NA,NA,NA
-29.5,89.5,NA,NA,NA
-28.5,89.5,NA,NA,NA
-27.5,89.5,NA,NA,NA
-26.5,89.5,NA,NA,NA
-25.5,89.5,NA,NA,NA
-24.5,89.5,NA,NA,NA
-23.5,89.5,NA,NA,NA
-22.5,89.5,NA,NA,NA
-21.5,89.5,NA,NA,NA
-20.5,89.5,NA,NA,NA
-19.5,89.5,NA,NA,NA
-18.5,89.5,NA,NA,27.4205241307359
-17.5,89.5,NA,NA,NA
-16.5,89.5,NA,NA,NA
-15.5,89.5,NA,NA,NA
-14.5,89.5,NA,NA,14.0866129013345
-13.5,89.5,NA,NA,NA
-12.5,89.5,NA,NA,NA
-11.5,89.5,NA,NA,NA
-10.5,89.5,NA,NA,NA
-9.5,89.5,NA,NA,NA
-8.5,89.5,NA,NA,NA
-7.5,89.5,NA,NA,NA
-6.5,89.5,NA,NA,NA
-5.5,89.5,NA,NA,NA
-4.5,89.5,NA,NA,NA
-3.5,89.5,NA,NA,NA
-2.5,89.5,NA,NA,NA
-1.5,89.5,NA,NA,NA
-0.5,89.5,NA,NA,12.6028213119863
0.5,89.5,NA,NA,NA
1.5,89.5,NA,NA,15.3989231823966
2.5,89.5,NA,NA,NA
3.5,89.5,NA,NA,21.2875875766222
4.5,89.5,NA,NA,NA
5.5,89.5,NA,NA,21.366727916386
6.5,89.5,NA,NA,26.8863926571648
7.5,89.5,NA,NA,24.9971511979799
8.5,89.5,NA,NA,24.8534147301958
9.5,89.5,NA,NA,24.5221729997009
10.5,89.5,NA,NA,NA
11.5,89.5,NA,NA,32.0298252825016
12.5,89.5,NA,NA,24.4991917393516
13.5,89.5,NA,NA,NA
14.5,89.5,NA,NA,17.6526388707374
15.5,89.5,NA,NA,20.0414918171083
16.5,89.5,NA,NA,39.5468972782778
17.5,89.5,NA,NA,NA
18.5,89.5,NA,NA,11.2575068754614
19.5,89.5,NA,NA,NA
20.5,89.5,NA,NA,NA
21.5,89.5,NA,NA,NA
22.5,89.5,NA,NA,NA
23.5,89.5,NA,NA,19.566694634757
24.5,89.5,NA,NA,NA
25.5,89.5,NA,NA,NA
26.5,89.5,NA,NA,36.1444596487399
27.5,89.5,NA,NA,NA
28.5,89.5,NA,NA,NA
29.5,89.5,NA,NA,NA
30.5,89.5,NA,NA,14.4427301545548
31.5,89.5,NA,NA,12.8402427378494
32.5,89.5,NA,NA,NA
33.5,89.5,NA,NA,39.6062326547833
34.5,89.5,NA,NA,NA
35.5,89.5,NA,NA,NA
36.5,89.5,NA,NA,15.669325180261
37.5,89.5,NA,NA,NA
38.5,89.5,NA,NA,NA
39.5,89.5,NA,NA,NA
40.5,89.5,NA,NA,NA
41.5,89.5,NA,NA,NA
42.5,89.5,NA,NA,18.696215639836
43.5,89.5,NA,NA,NA
44.5,89.5,NA,NA,NA
45.5,89.5,NA,NA,NA
46.5,89.5,NA,NA,15.8078056578089
47.5,89.5,NA,NA,NA
48.5,89.5,NA,NA,NA
49.5,89.5,NA,NA,NA
50.5,89.5,NA,NA,28.686631431479
51.5,89.5,NA,NA,NA
52.5,89.5,NA,NA,NA
53.5,89.5,NA,NA,NA
54.5,89.5,NA,NA,NA
55.5,89.5,NA,NA,NA
56.5,89.5,NA,NA,NA
57.5,89.5,NA,NA,NA
58.5,89.5,NA,NA,NA
59.5,89.5,NA,NA,NA
60.5,89.5,NA,NA,NA
61.5,89.5,NA,NA,NA
62.5,89.5,NA,NA,NA
63.5,89.5,NA,NA,38.5380792850077
64.5,89.5,NA,NA,NA
65.5,89.5,NA,NA,NA
66.5,89.5,NA,NA,NA
67.5,89.5,NA,NA,30.3285737783484
68.5,89.5,NA,NA,NA
69.5,89.5,NA,NA,NA
