MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
1,-60.83,-60.03,50,0.3264,1.509999966,-3811.0237,0.161257997,-0.792478738,1.698970004,-0.48624985
1,-60.83,-60.03,50,0.0030396,1.509999966,-3811.0237,0.161257997,-0.792478738,1.698970004,-2.517183564
1,-58.71,-44.03,50,13.7088,1.764999961,-2677.1653,0.587296486,-0.231142598,1.698970004,1.13699944
1,-58.71,-44.03,50,0.0397596,1.764999961,-2677.1653,0.587296486,-0.231142598,1.698970004,-1.400557993
1,-59.23,-43,50,1.632,1.229999973,-3779.5276,0.560764909,-0.251219171,1.698970004,0.212720154
1,-59.23,-43,50,0.0017952,1.229999973,-3779.5276,0.560764909,-0.251219171,1.698970004,-2.74588716
1,-58.55,-42,50,1.224,1.529999966,-2992.126,0.618710399,-0.208512585,1.698970004,0.087781418
1,-58.55,-42,50,0.0056304,1.529999966,-2992.126,0.618710399,-0.208512585,1.698970004,-2.249460751
1,-59.2,-42,50,1.9584,1.254999972,-4125.9844,0.45054087,-0.346265806,1.698970004,0.2919014
1,-59.2,-42,50,0.0090168,1.254999972,-4125.9844,0.45054087,-0.346265806,1.698970004,-2.044947563
1,-59.66,-42,50,0.3264,1.259999972,-4125.9844,0.434666812,-0.361843518,1.698970004,-0.48624985
1,-59.66,-42,50,0.0019176,1.259999972,-4125.9844,0.434666812,-0.361843518,1.698970004,-2.717241979
3,-53.16,-39.33,50,5.8752,3.739999916,-2929.1338,0.874098897,-0.058439428,1.698970004,0.769022655
3,-53.16,-39.33,50,0.02703,3.739999916,-2929.1338,0.874098897,-0.058439428,1.698970004,-1.568153954
3,-53.5,-37.75,50,1.0608,3.259999927,-1070.8661,1.07586658,0.031758417,1.698970004,0.025633511
3,-53.5,-37.75,50,0.0597312,3.259999927,-1070.8661,1.07586658,0.031758417,1.698970004,-1.22379876
3,-52.91,-38.25,50,0.3264,3.819999915,-3527.559,1.268299699,0.103221889,1.698970004,-0.48624985
3,-52.91,-38.25,50,0.0183804,3.819999915,-3527.559,1.268299699,0.103221889,1.698970004,-1.735645042
3,-52.85,-37,50,1.2852,3.499999922,-3181.1023,0.729428887,-0.137017041,1.698970004,0.108970717
3,-52.85,-37,50,0.0723588,3.499999922,-3181.1023,0.729428887,-0.137017041,1.698970004,-1.140508644
3,-53.18,-37,50,10.4448,3.289999926,-944.8819,0.876593828,-0.057201591,1.698970004,1.018900128
3,-53.18,-37,50,0.5880504,3.289999926,-944.8819,0.876593828,-0.057201591,1.698970004,-0.23058545
3,-53.51,-37,50,4.896,3.224999928,-944.8819,1.041693687,0.017740032,1.698970004,0.689841409
3,-53.51,-37,50,0.0141984,3.224999928,-944.8819,1.041693687,0.017740032,1.698970004,-1.847760593
3,-53.63,-36.2,50,0.6528,2.999999933,-944.8819,0.601749659,-0.220584147,1.698970004,-0.185219854
3,-53.63,-36.2,50,0.0018972,2.999999933,-944.8819,0.601749659,-0.220584147,1.698970004,-2.721886884
3,-53.43,-34.75,50,1.3056,2.719999939,-3496.063,0.303761691,-0.517466998,1.698970004,0.115810141
3,-53.43,-34.75,50,0.0809472,2.719999939,-3496.063,0.303761691,-0.517466998,1.698970004,-1.091798169
3,-53.7,-35.13,50,13.056,2.564999943,-3464.567,0.277112454,-0.557343955,1.698970004,1.115810141
3,-53.7,-35.13,50,0.0378624,2.564999943,-3464.567,0.277112454,-0.557343955,1.698970004,-1.421791861
3,-54.21,-34.51,50,1.428,2.504999944,-2173.2283,0.310313553,-0.508199257,1.698970004,0.154728207
3,-54.21,-34.51,50,0.0041412,2.504999944,-2173.2283,0.310313553,-0.508199257,1.698970004,-2.382873795
3,-54.06,-34,50,0.0816,2.394999946,-2173.2283,0.256525338,-0.590869732,1.698970004,-1.088309841
3,-54.06,-34,50,0.0001428,2.394999946,-2173.2283,0.256525338,-0.590869732,1.698970004,-3.845271793
3,-54.75,-33.61,50,1.9584,2.23499995,-4755.9053,0.287746072,-0.540990596,1.698970004,0.2919014
3,-54.75,-33.61,50,0.0033252,2.23499995,-4755.9053,0.287746072,-0.540990596,1.698970004,-2.478182228
7,69.201,36.169,5,1.4958,12.60499972,-188.97638,1.438078642,0.157782636,0.698970004,0.174873529
7,68.42,38.63,5,1.4958,10.80499976,-62.992126,1.330164313,0.123905292,0.698970004,0.174873529
7,68.62,38.8,5,1.4958,10.63499976,-62.992126,0.746222258,-0.127131801,0.698970004,0.174873529
7,68.95,37.4,17.5,0.9972,12.59999972,0,0.886376858,-0.052381591,1.243038049,-0.00121773
7,68.42,38.63,17.5,0.9972,10.80499976,-62.992126,1.330164313,0.123905292,1.243038049,-0.00121773
7,69.201,36.169,17.5,3.1578,12.60499972,-188.97638,1.438078642,0.157782636,1.243038049,0.49938462
3,69.388,34.487,25,0.3324,2.124999953,-125.98425,0.344661713,-0.462606958,1.397940009,-0.478338985
3,69.55,35.22,25,0.3324,2.879999936,-157.48032,0.387840688,-0.411346631,1.397940009,-0.478338985
7,68.2,39.77,37.5,0.6648,7.734999827,-94.48819,1.246978998,0.095859139,1.574031268,-0.177308989
3,69.469,34.58,37.5,0.6648,2.459999945,-125.98425,0.381622851,-0.418365628,1.574031268,-0.177308989
9,69.3,35.168,75,0.3324,9.204999794,-157.48032,1.4639467,0.165525265,1.875061263,-0.478338985
9,69.267,35.15,75,0.6648,9.204999794,-157.48032,1.447709441,0.160681407,1.875061263,-0.177308989
9,69.234,35.15,78,0.3324,9.209999794,-157.48032,2.669378281,0.426410123,1.892094603,-0.478338985
9,72,60.07,87.5,0.6648,5.454999878,-62.992126,0.929624081,-0.031692635,1.942008053,-0.177308989
9,74.5,65.1,87.5,0.6648,4.084999909,-125.98425,2.232220173,0.348737029,1.942008053,-0.177308989
7,69.47,35.3,163.5,0.4986,11.42999974,-157.48032,0.745286345,-0.127676835,2.213517757,-0.302247726
9,69.43,36.43,173.5,0.3324,9.194999794,-188.97638,0.732191265,-0.135375457,2.239299479,-0.478338985
9,72,56.57,215,0.1662,4.094999908,-94.48819,1.389315605,0.142800914,2.33243846,-0.779368981
7,69.28,36.27,5,30.9132,11.95499973,-188.97638,0.864865005,-0.063051675,0.698970004,1.490143964
7,68.83,37.33,17.5,0.9972,8.654999807,0,1.037507892,0.015991409,1.243038049,-0.00121773
7,68.83,37.33,38.5,0.4986,8.654999807,0,1.037507892,0.015991409,1.58546073,-0.302247726
9,76.6,74.8,12.5,6.24,2.654999941,-94.48819,6.050840855,0.781815731,1.096910013,0.79518459
8,77.88,79.75,12.5,12.48,1.659999963,-31.496063,1.254575968,0.098496964,1.096910013,1.096214585
8,78.97,68.42,62.5,6.24,0.734999984,-377.95276,0.55829823,-0.253133749,1.795880017,0.79518459
8,78.33,79.17,62.5,12.48,2.329999948,-62.992126,1.028438091,0.012178154,1.795880017,1.096214585
9,76.5,76.88,62.5,37.44,2.849999936,-94.48819,1.829470992,0.262325528,1.795880017,1.57333584
8,77.88,79.75,62.5,49.92,1.659999963,-31.496063,1.254575968,0.098496964,1.795880017,1.698274577
9,76.6,74.8,65,12.48,2.654999941,-94.48819,6.050840855,0.781815731,1.812913357,1.096214585
8,78.92,79.25,75,37.44,1.489999967,-62.992126,0.901127577,-0.04521372,1.875061263,1.57333584
9,77.52,86.28,77.5,37.44,0.994999978,-62.992126,0.856586814,-0.067228615,1.889301703,1.57333584
8,78.92,79.25,120,49.92,1.489999967,-62.992126,0.901127577,-0.04521372,2.079181246,1.698274577
9,76.6,74.8,130,18.72,2.654999941,-94.48819,6.050840855,0.781815731,2.113943352,1.272305844
8,78.33,79.17,135,6.24,2.329999948,-62.992126,1.028438091,0.012178154,2.130333768,0.79518459
8,78.97,68.42,200,74.88,0.734999984,-377.95276,0.55829823,-0.253133749,2.301029996,1.874365836
