"log10_BodySize","lower_95","upper_95"
-13.5,28.7297601668362,28.9509940464154
-12.5,27.6941730847749,27.8916369119025
-11.5,26.6581674446035,26.8326983354997
-10.5,25.6215545712297,25.7743669922993
-9.5,24.5840361048811,24.7169412420738
-8.5,23.5451428875505,23.6608902428301
-7.5,22.5041813857354,22.606907528071
-6.5,21.4602983868612,21.555846310371
-5.5,20.4128307773902,20.5083697032679
-4.5,19.3617776151711,19.4644786489128
-3.5,18.3078009167885,18.4235111307212
-2.5,17.2517539896286,17.3846138413069
-1.5,16.1943309161303,16.347092698231
-0.5,15.1360013483015,15.3104780494857
0.5,14.0770639790406,14.2744712021724
1.5,13.0177076896658,13.238883274973
2.5,11.9580540755184,12.2035926725462
3.5,10.898183498667,11.1685190328235
4.5,9.83815057633048,10.1336077385857
5.5,8.77799344023219,9.09882065810984
6.5,7.71773938086777,8.06413050090008
7.5,6.65740837306528,7.02951729212838
8.5,5.59701533477731,5.99496611384216
